ProductReference;SupplierName;DateOfIncident;IssueDescription;ResolutionStatus;CostImpact (€)
PRD00459;SupplierA;2023-03-08;Labeling Error;Resolved;168.0
PRD00893;SupplierD;2023-08-30;Labeling Error;Not Resolved;390.0
PRD01369;SupplierF;2023-11-01;Labeling Error;Resolved;132.0
PRD03151;SupplierD;2023-01-23;Other;Resolved;400.0
PRD03531;SupplierA;2024-01-05;Incorrect Folding;Resolved;282.5
PRD07581;SupplierF;2023-07-11;Packaging Damage;Resolved;1308.0
PRD04316;SupplierB;2023-10-10;Incorrect Folding;Resolved;485.0
PRD09278;SupplierG;2023-01-27;Other;Resolved;390.0
PRD08502;SupplierF;2023-03-20;Missing Items;Not Resolved;1436.0
PRD03751;SupplierD;2023-04-13;Labeling Error;Resolved;184.0
PRD01581;SupplierA;2023-02-12;Other;Resolved;297.0
PRD04039;SupplierC;2023-12-16;Other;Resolved;146.0
PRD02590;SupplierC;2023-03-16;Packaging Damage;In Progress;1796.25
PRD06833;SupplierG;2023-05-22;Missing Items;In Progress;485.0
PRD00478;SupplierA;2023-05-22;Missing Items;Resolved;1201.0
PRD03758;SupplierB;2023-08-19;Other;Resolved;311.0
PRD06232;SupplierB;2023-08-07;Labeling Error;Resolved;219.0
PRD06117;SupplierB;2023-10-26;Packaging Damage;Resolved;853.0
PRD07834;SupplierE;2023-01-28;Labeling Error;Resolved;419.0
PRD09413;SupplierB;2023-11-16;Other;Not Resolved;221.0
PRD02864;SupplierD;2023-04-17;Other;In Progress;379.0
PRD05355;SupplierE;2023-07-22;Missing Items;In Progress;906.0
PRD08102;SupplierF;2024-06-05;Transportation Damage;Resolved;1498.0
PRD01341;SupplierC;2023-02-14;Other;Resolved;321.0
PRD02330;SupplierC;2023-07-02;Labeling Error;Resolved;270.0
PRD01725;SupplierE;2023-12-16;Packaging Damage;Resolved;1473.0
PRD08924;SupplierF;2024-02-10;Labeling Error;Resolved;254.0
PRD05737;SupplierD;2023-05-11;Packaging Damage;Resolved;1778.0
PRD09761;SupplierB;2023-01-07;Incorrect Folding;Resolved;328.75
PRD00362;SupplierF;2024-04-06;Incorrect Folding;In Progress;345.0
PRD06146;SupplierA;2023-02-16;Labeling Error;Resolved;405.0
PRD09784;SupplierD;2023-05-24;Other;Not Resolved;280.0
PRD09202;SupplierD;2023-07-18;Other;Resolved;267.0
PRD08860;SupplierB;2023-09-17;Packaging Damage;In Progress;939.0
PRD01972;SupplierH;2023-07-17;Labeling Error;Resolved;430.0
PRD07602;SupplierG;2023-11-07;Incorrect Folding;Resolved;273.75
PRD06527;SupplierC;2023-05-24;Labeling Error;Resolved;261.0
PRD01272;SupplierC;2024-01-31;Labeling Error;Resolved;125.0
PRD03669;SupplierH;2023-08-29;Incorrect Folding;Resolved;435.0
;SupplierB;2023-09-08;Other;In Progress;162.0
PRD00082;SupplierB;2023-09-25;Other;In Progress;234.0
PRD05757;SupplierB;2024-05-22;Packaging Damage;Resolved;2200.0
PRD04468;SupplierB;2023-07-12;Incorrect Folding;Resolved;415.0
PRD06142;SupplierB;2023-04-25;Packaging Damage;In Progress;1316.0
PRD06978;SupplierD;2023-01-21;Incorrect Folding;Resolved;467.5
PRD09998;SupplierB;2024-02-13;Other;In Progress;120.0
PRD09914;SupplierB;2024-05-03;Other;Resolved;162.0
PRD09105;SupplierC;2023-03-14;Labeling Error;Resolved;429.0
PRD01024;SupplierF;2023-04-04;Packaging Damage;Resolved;874.0
PRD05641;SupplierH;2023-02-03;Other;Resolved;140.0
PRD04085;SupplierA;2023-10-20;Missing Items;In Progress;1067.0
PRD08471;SupplierD;2023-06-03;Other;Resolved;264.0
PRD05458;SupplierH;2023-10-15;Packaging Damage;Resolved;1159.0
PRD01003;SupplierC;2023-06-18;Labeling Error;Resolved;435.0
PRD05399;SupplierH;2024-04-16;Other;Resolved;211.0
PRD07401;SupplierG;2023-10-18;Incorrect Folding;Not Resolved;427.5
PRD07374;SupplierF;2024-03-12;Incorrect Folding;Resolved;467.5
PRD04066;SupplierB;2023-10-22;Incorrect Folding;Resolved;522.5
PRD09039;SupplierA;2023-03-10;Product Wrinkled;Resolved;460.0
PRD08966;SupplierB;2024-01-24;Packaging Damage;Not Resolved;1442.0
PRD08458;SupplierG;2023-01-23;Packaging Damage;Resolved;2382.5
PRD01869;SupplierG;2024-04-18;Labeling Error;Resolved;187.0
PRD02390;SupplierH;2023-08-24;Packaging Damage;Resolved;1014.0
PRD07429;SupplierG;2023-04-15;Packaging Damage;Resolved;1128.0
PRD02112;SupplierA;2023-03-13;Incorrect Folding;Resolved;248.75
PRD06760;SupplierD;2024-06-05;Other;Resolved;360.0
PRD00616;SupplierF;2023-03-01;Other;In Progress;173.0
PRD01612;SupplierE;2024-02-11;Packaging Damage;Resolved;995.0
PRD01501;SupplierA;2023-05-29;Other;Resolved;77.0
PRD02603;SupplierB;2023-06-23;Other;Resolved;273.0
PRD00289;SupplierD;2023-09-22;Other;Resolved;125.0
PRD01674;SupplierD;2023-03-17;Incorrect Folding;In Progress;647.5
PRD05147;SupplierA;2023-08-23;Packaging Damage;Resolved;997.5
PRD00067;SupplierC;2024-03-22;Incorrect Folding;Not Resolved;326.25
PRD08810;SupplierF;2023-06-18;Labeling Error;Resolved;257.0
PRD00776;SupplierD;2023-12-01;Labeling Error;Resolved;168.0
PRD07441;SupplierF;2024-06-25;Packaging Damage;Resolved;1752.0
PRD08291;SupplierC;2023-06-09;Incorrect Folding;Resolved;573.75
PRD05844;SupplierF;2023-11-30;Labeling Error;Resolved;187.0
PRD09287;SupplierE;2024-04-19;Other;Resolved;343.0
PRD04241;SupplierD;2024-01-18;Packaging Damage;Resolved;828.0
PRD03861;SupplierD;2023-12-21;Labeling Error;Not Resolved;323.0
PRD00498;SupplierB;2024-06-11;Labeling Error;Resolved;217.0
PRD02272;SupplierF;2023-02-08;Packaging Damage;In Progress;1517.0
PRD05857;SupplierC;2024-02-25;Incorrect Folding;Resolved;656.25
PRD01791;SupplierB;2024-01-05;Labeling Error;Resolved;428.0
PRD04019;SupplierC;2024-02-07;Other;In Progress;175.0
PRD07376;SupplierH;2024-04-11;Labeling Error;Resolved;173.0
PRD04087;SupplierF;2023-08-21;Incorrect Folding;Resolved;260.0
PRD05282;SupplierB;2023-10-21;Other;In Progress;168.0
PRD04675;SupplierG;2023-03-12;Other;Not Resolved;395.0
PRD05918;SupplierB;2023-05-08;Packaging Damage;In Progress;1428.0
PRD08255;SupplierC;2024-07-04;Other;Resolved;264.0
PRD00749;SupplierD;2024-01-22;Labeling Error;Resolved;431.0
PRD09432;SupplierC;2023-08-11;Labeling Error;Resolved;171.0
PRD02909;SupplierC;2023-04-29;Missing Items;Resolved;1480.0
PRD05744;SupplierH;2023-04-10;Packaging Damage;Resolved;1906.25
PRD07390;SupplierD;2023-11-19;Packaging Damage;Resolved;1285.0
PRD02548;SupplierB;2023-08-29;Packaging Damage;Resolved;2215.0
PRD03857;SupplierD;2024-01-20;Other;Resolved;134.0
PRD01778;SupplierF;2024-05-12;Missing Items;In Progress;1500.0
PRD02485;SupplierB;2024-05-31;Packaging Damage;Resolved;1787.5
PRD07016;SupplierC;2023-12-29;Labeling Error;Resolved;259.0
PRD01483;SupplierA;2023-01-30;Other;In Progress;388.0
PRD01040;SupplierC;2023-05-11;Other;Resolved;154.0
PRD04444;SupplierC;2023-08-12;Other;Resolved;241.0
PRD01561;SupplierC;2023-09-10;Packaging Damage;Resolved;962.0
PRD01807;SupplierC;2023-03-30;Packaging Damage;Not Resolved;1433.75
PRD02893;SupplierA;2024-06-21;Labeling Error;Resolved;433.0
PRD05567;SupplierF;2023-05-02;Packaging Damage;In Progress;828.0
PRD00764;SupplierC;2024-01-15;Packaging Damage;Resolved;1244.0
PRD01304;SupplierC;2024-02-18;Other;In Progress;172.0
PRD08137;SupplierB;2023-12-03;Incorrect Folding;In Progress;290.0
PRD02185;SupplierD;2024-05-10;Packaging Damage;Resolved;1402.0
PRD07658;SupplierH;2023-04-25;Incorrect Folding;Resolved;491.25
PRD00852;SupplierC;2024-01-24;Other;Resolved;156.0
PRD03622;SupplierE;2023-03-07;Missing Items;Resolved;832.0
PRD04469;SupplierB;2024-03-26;Missing Items;Resolved;1051.0
PRD09583;SupplierC;2023-11-04;Labeling Error;Resolved;406.0
PRD00143;SupplierB;2023-03-21;Incorrect Folding;Resolved;283.75
PRD05669;SupplierA;2023-02-05;Labeling Error;Resolved;374.0
PRD00904;SupplierD;2023-03-05;Incorrect Folding;Resolved;590.0
PRD03137;SupplierD;2023-02-15;Packaging Damage;Resolved;914.0
PRD09187;SupplierB;2023-12-19;Other;Resolved;354.0
PRD01218;SupplierD;2023-07-13;Packaging Damage;In Progress;900.0
PRD03979;SupplierA;2023-07-02;Labeling Error;Resolved;333.0
PRD01694;SupplierD;2023-01-13;Incorrect Folding;Resolved;581.25
PRD03792;SupplierF;2023-11-24;Labeling Error;In Progress;131.0
PRD02358;SupplierF;2023-05-23;Labeling Error;Resolved;279.0
PRD00023;SupplierA;2023-11-07;Incorrect Folding;In Progress;128.75
;SupplierB;2024-06-20;Missing Items;Not Resolved;1049.0
PRD00297;SupplierH;2023-01-29;Incorrect Folding;Resolved;480.0
PRD03670;SupplierA;2023-01-15;Incorrect Folding;Resolved;717.5
PRD08913;SupplierC;2023-12-22;Labeling Error;Resolved;219.0
PRD08876;SupplierG;2024-07-05;Incorrect Folding;Resolved;476.25
PRD00922;SupplierC;2023-02-05;Other;Resolved;53.0
PRD09081;SupplierD;2024-01-25;Missing Items;Resolved;529.0
PRD00367;SupplierF;2024-01-10;Missing Items;Resolved;709.0
PRD05834;SupplierD;2023-03-29;Other;Resolved;355.0
PRD09586;SupplierD;2023-04-24;Incorrect Folding;In Progress;246.25
;SupplierF;2023-01-26;Missing Items;Resolved;530.0
PRD01801;SupplierA;2024-02-06;Other;Resolved;85.0
PRD05879;SupplierF;2023-03-15;Packaging Damage;Not Resolved;1451.0
PRD00084;SupplierD;2023-11-02;Labeling Error;In Progress;475.0
PRD02675;SupplierC;2023-02-13;Labeling Error;In Progress;465.0
PRD03291;SupplierD;2023-04-28;Labeling Error;Resolved;373.0
PRD00622;SupplierD;2023-09-03;Other;Resolved;282.0
PRD02597;SupplierB;2023-10-02;Incorrect Folding;Resolved;658.75
PRD03307;SupplierC;2024-03-24;Packaging Damage;Resolved;1668.0
PRD02922;SupplierD;2024-06-11;Packaging Damage;Resolved;972.0
PRD04223;SupplierC;2023-07-14;Labeling Error;Resolved;154.0
PRD01876;SupplierE;2024-03-06;Missing Items;Resolved;752.0
PRD07135;SupplierA;2023-05-03;Packaging Damage;Resolved;1262.0
PRD05612;SupplierA;2024-05-16;Packaging Damage;In Progress;860.0
PRD09600;SupplierF;2024-03-20;Incorrect Folding;Resolved;561.25
PRD03831;SupplierF;2024-01-30;Packaging Damage;In Progress;1361.0
PRD03039;SupplierD;2023-07-19;Labeling Error;Not Resolved;290.0
PRD01900;SupplierB;2023-01-24;Labeling Error;In Progress;198.0
PRD08113;SupplierE;2023-08-08;Packaging Damage;Resolved;933.0
PRD00711;SupplierA;2023-06-30;Other;Resolved;394.0
PRD04471;SupplierB;2023-08-25;Incorrect Folding;In Progress;737.5
PRD02261;SupplierF;2023-09-17;Labeling Error;Resolved;440.0
PRD04718;SupplierB;2024-04-28;Other;In Progress;260.0
PRD01208;SupplierB;2023-09-06;Other;Resolved;241.0
PRD02364;SupplierA;2024-05-04;Other;Not Resolved;326.0
PRD02532;SupplierD;2023-05-31;Incorrect Folding;Resolved;518.75
PRD04379;SupplierF;2024-06-12;Labeling Error;In Progress;118.0
PRD09567;SupplierF;2023-11-04;Packaging Damage;Not Resolved;1977.0
PRD03937;SupplierA;2023-10-07;Incorrect Folding;Resolved;193.75
PRD06666;SupplierF;2023-06-30;Other;Not Resolved;152.0
PRD00250;SupplierD;2023-04-18;Labeling Error;Resolved;350.0
PRD09969;SupplierG;2023-05-30;Other;In Progress;185.0
PRD07851;SupplierF;2023-03-24;Incorrect Folding;Resolved;311.25
PRD02950;SupplierA;2023-09-25;Missing Items;Resolved;892.0
PRD06944;SupplierA;2023-09-20;Labeling Error;Resolved;428.0
PRD03758;SupplierB;2023-01-11;Other;Resolved;225.0
PRD00447;SupplierF;2023-06-10;Packaging Damage;Resolved;1337.0
PRD01989;SupplierE;2024-03-21;Packaging Damage;Resolved;1210.0
PRD06349;SupplierD;2023-07-30;Missing Items;Resolved;1104.0
PRD08435;SupplierE;2024-01-17;Incorrect Folding;In Progress;181.25
PRD07602;SupplierA;2023-01-21;Incorrect Folding;Not Resolved;627.5
PRD06205;SupplierF;2023-05-01;Labeling Error;In Progress;120.0
PRD07884;SupplierA;2023-12-26;Incorrect Folding;In Progress;336.25
PRD02057;SupplierD;2023-11-06;Other;Resolved;238.0
PRD04083;SupplierC;2024-04-14;Packaging Damage;Resolved;1193.0
PRD00613;SupplierA;2024-06-07;Packaging Damage;Resolved;1991.0
PRD08960;SupplierH;2024-04-21;Incorrect Folding;Not Resolved;575.0
PRD07346;SupplierB;2023-04-15;Incorrect Folding;Resolved;128.75
PRD00402;SupplierD;2023-08-23;Labeling Error;Resolved;434.0
PRD05164;SupplierC;2023-09-29;Other;Resolved;395.0
PRD07375;SupplierA;2024-03-14;Labeling Error;In Progress;340.0
PRD04571;SupplierC;2023-06-08;Missing Items;Resolved;1483.0
PRD04539;SupplierD;2023-09-08;Product Wrinkled;In Progress;745.0
PRD09666;SupplierH;2024-04-19;Other;Resolved;186.0
PRD01225;SupplierG;2023-07-19;Other;Resolved;115.0
;SupplierD;2024-06-12;Other;Not Resolved;385.0
PRD02396;SupplierB;2024-06-20;Other;In Progress;246.0
PRD03146;SupplierF;2023-10-06;Packaging Damage;Resolved;1820.0
PRD08876;SupplierD;2023-12-23;Incorrect Folding;Resolved;250.0
PRD04591;SupplierB;2023-07-18;Incorrect Folding;Resolved;461.25
PRD04198;SupplierE;2024-06-23;Other;Resolved;165.0
PRD09620;SupplierB;2023-09-23;Labeling Error;In Progress;235.0
PRD06162;SupplierE;2024-01-07;Missing Items;Resolved;773.0
PRD04366;SupplierG;2023-03-26;Packaging Damage;Resolved;1694.0
PRD06415;SupplierB;2023-08-14;Labeling Error;Resolved;210.0
PRD02012;SupplierC;2023-10-20;Labeling Error;Not Resolved;183.0
PRD00043;SupplierD;2024-02-19;Labeling Error;In Progress;401.0
PRD02390;SupplierB;2023-02-26;Packaging Damage;Resolved;762.0
PRD09097;SupplierC;2023-10-05;Incorrect Folding;Resolved;613.75
;SupplierH;2024-01-31;Other;Resolved;395.0
PRD01325;SupplierD;2023-09-14;Packaging Damage;Resolved;1635.0
PRD02438;SupplierC;2024-03-23;Other;Resolved;52.0
PRD07020;SupplierD;2023-05-17;Packaging Damage;Resolved;2435.0
PRD01621;SupplierA;2023-11-25;Other;Resolved;357.0
PRD05939;SupplierB;2023-08-10;Missing Items;Resolved;322.0
PRD08054;SupplierA;2023-12-07;Packaging Damage;Resolved;2383.75
PRD06707;SupplierB;2024-03-23;Incorrect Folding;Resolved;242.5
PRD08065;SupplierB;2024-05-10;Other;Resolved;315.0
PRD03542;SupplierC;2024-06-08;Incorrect Folding;Not Resolved;478.75
PRD08461;SupplierE;2023-09-24;Missing Items;In Progress;357.0
PRD02987;SupplierC;2023-07-13;Labeling Error;Resolved;227.0
PRD04859;SupplierA;2023-08-16;Labeling Error;In Progress;460.0
PRD03769;SupplierC;2023-05-22;Labeling Error;Resolved;206.0
PRD04023;SupplierC;2024-02-04;Packaging Damage;Resolved;693.0
PRD04759;SupplierC;2023-09-26;Incorrect Folding;Resolved;330.0
PRD07995;SupplierC;2023-03-09;Incorrect Folding;In Progress;572.5
PRD08237;SupplierC;2024-01-09;Packaging Damage;Resolved;1189.0
PRD09257;SupplierC;2024-05-30;Incorrect Folding;Resolved;548.75
PRD04907;SupplierF;2024-03-02;Other;Resolved;300.0
PRD04680;SupplierA;2024-06-22;Incorrect Folding;Resolved;737.5
PRD08752;SupplierC;2024-03-31;Labeling Error;Resolved;111.0
PRD02704;SupplierF;2024-01-15;Incorrect Folding;Not Resolved;316.25
PRD08109;SupplierD;2023-09-19;Other;Resolved;69.0
PRD07964;SupplierF;2023-11-08;Other;Resolved;68.0
PRD01266;SupplierB;2024-03-03;Incorrect Folding;Resolved;168.75
PRD09608;SupplierB;2023-06-10;Other;Resolved;241.0
PRD04495;SupplierH;2024-07-09;Incorrect Folding;In Progress;298.75
PRD02149;SupplierG;2023-02-23;Other;In Progress;371.0
PRD04868;SupplierC;2023-02-21;Labeling Error;In Progress;422.0
PRD00577;SupplierD;2023-04-03;Labeling Error;Resolved;214.0
PRD01972;SupplierB;2023-12-30;Labeling Error;Not Resolved;182.0
PRD07072;SupplierC;2024-04-28;Packaging Damage;Resolved;764.0
PRD08676;SupplierB;2023-05-19;Other;In Progress;174.0
PRD01897;SupplierD;2024-06-19;Other;Resolved;172.0
PRD07040;SupplierA;2023-12-07;Packaging Damage;Resolved;1282.0
PRD05450;SupplierD;2023-12-03;Labeling Error;Resolved;277.0
PRD00568;SupplierC;2023-03-24;Other;Resolved;50.0
PRD06684;SupplierD;2023-06-05;Incorrect Folding;In Progress;438.75
PRD05602;SupplierF;2023-09-23;Other;Resolved;358.0
PRD03340;SupplierA;2023-12-09;Packaging Damage;Resolved;1601.0
PRD07937;SupplierD;2024-04-22;Incorrect Folding;Not Resolved;345.0
;SupplierC;2023-01-07;Other;In Progress;138.0
PRD00131;SupplierE;2023-03-13;Packaging Damage;Resolved;1295.0
PRD05525;SupplierC;2024-05-21;Other;Resolved;165.0
PRD09893;SupplierF;2023-11-09;Incorrect Folding;Resolved;651.25
PRD04578;SupplierD;2023-12-15;Missing Items;Resolved;342.0
PRD08146;SupplierD;2024-01-15;Labeling Error;Resolved;372.0
PRD04215;SupplierF;2023-07-15;Transportation Damage;Resolved;834.0
PRD05289;SupplierD;2023-12-13;Incorrect Folding;In Progress;518.75
PRD08818;SupplierC;2023-02-09;Packaging Damage;Resolved;949.0
PRD02202;SupplierE;2024-03-12;Labeling Error;Resolved;333.0
PRD07493;SupplierD;2024-02-02;Incorrect Folding;Resolved;431.25
PRD04184;SupplierG;2023-10-07;Other;Resolved;374.0
;SupplierC;2024-05-05;Other;In Progress;274.0
PRD08546;SupplierF;2023-07-22;Packaging Damage;Resolved;1338.75
PRD06246;SupplierC;2023-10-02;Missing Items;Resolved;1371.0
PRD04392;SupplierE;2024-05-22;Other;In Progress;140.0
PRD07611;SupplierF;2024-02-15;Other;Resolved;136.0
PRD09317;SupplierC;2023-02-23;Labeling Error;Resolved;156.0
PRD04262;SupplierB;2023-05-08;Labeling Error;Resolved;429.0
PRD04492;SupplierA;2024-03-03;Packaging Damage;Resolved;2418.75
PRD04664;SupplierH;2024-02-16;Labeling Error;Resolved;500.0
PRD08239;SupplierD;2023-06-20;Packaging Damage;Not Resolved;701.0
PRD00796;SupplierB;2024-07-04;Labeling Error;Resolved;166.0
PRD04744;SupplierF;2023-07-08;Packaging Damage;In Progress;1453.0
PRD06444;SupplierE;2023-05-22;Incorrect Folding;In Progress;307.5
PRD04180;SupplierD;2023-08-24;Other;Resolved;329.0
PRD08093;SupplierF;2023-05-07;Other;Resolved;95.0
PRD04690;SupplierG;2023-08-18;Packaging Damage;In Progress;514.0
PRD05268;SupplierA;2023-08-09;Other;In Progress;288.0
PRD06694;SupplierB;2024-03-18;Labeling Error;Resolved;465.0
PRD09835;SupplierH;2023-02-28;Labeling Error;Resolved;251.0
PRD07544;SupplierF;2023-12-07;Packaging Damage;Resolved;1913.0
PRD00330;SupplierD;2023-03-04;Incorrect Folding;Resolved;216.25
PRD05133;SupplierH;2023-11-28;Incorrect Folding;Resolved;180.0
PRD09585;SupplierB;2023-08-23;Other;Resolved;177.0
PRD08333;SupplierF;2023-04-15;Labeling Error;Resolved;445.0
PRD04644;SupplierB;2024-04-19;Labeling Error;Resolved;193.0
PRD08986;SupplierB;2023-06-06;Packaging Damage;Resolved;1671.25
PRD03746;SupplierB;2023-03-10;Missing Items;Not Resolved;1220.0
PRD05852;SupplierD;2023-05-16;Incorrect Folding;Resolved;143.75
PRD05815;SupplierE;2024-04-12;Labeling Error;Not Resolved;393.0
PRD04040;SupplierB;2023-08-13;Missing Items;In Progress;770.0
PRD02271;SupplierE;2024-05-28;Incorrect Folding;In Progress;561.25
PRD04331;SupplierD;2023-05-16;Other;Resolved;306.0
PRD09268;SupplierD;2023-09-23;Other;Not Resolved;261.0
PRD09869;SupplierD;2023-07-11;Incorrect Folding;Resolved;487.5
PRD02990;SupplierA;2023-02-28;Labeling Error;Resolved;431.0
PRD07363;SupplierH;2024-07-13;Incorrect Folding;Resolved;647.5
PRD07502;SupplierF;2023-12-01;Labeling Error;Resolved;235.0
PRD09593;SupplierH;2024-04-14;Packaging Damage;Resolved;1009.0
PRD07826;SupplierG;2023-05-08;Incorrect Folding;Not Resolved;315.0
PRD09976;SupplierE;2023-10-20;Incorrect Folding;Resolved;127.5
PRD09697;SupplierC;2024-05-26;Other;Resolved;393.0
PRD09669;SupplierF;2023-12-16;Packaging Damage;Resolved;1850.0
PRD08177;SupplierF;2024-02-14;Other;Resolved;122.0
PRD09740;SupplierC;2023-01-20;Packaging Damage;Resolved;625.0
PRD03062;SupplierC;2023-05-22;Labeling Error;In Progress;149.0
PRD05501;SupplierH;2024-01-08;Packaging Damage;In Progress;1326.0
PRD07786;SupplierA;2023-10-31;Other;Resolved;200.0
PRD08604;SupplierC;2023-08-30;Labeling Error;Resolved;138.0
PRD07923;SupplierD;2024-01-28;Labeling Error;Resolved;481.0
PRD09246;SupplierD;2023-02-17;Labeling Error;In Progress;197.0
PRD09167;SupplierG;2024-05-17;Labeling Error;Resolved;107.0
PRD01201;SupplierC;2023-09-17;Other;Resolved;68.0
PRD00275;SupplierC;2023-05-13;Incorrect Folding;Resolved;438.75
PRD09793;SupplierB;2023-08-24;Labeling Error;Resolved;156.0
PRD03112;SupplierD;2024-01-04;Other;In Progress;296.0
PRD04675;SupplierF;2024-01-21;Transportation Damage;Resolved;1605.0
PRD08915;SupplierE;2023-08-26;Incorrect Folding;Resolved;146.25
PRD06140;SupplierD;2023-07-24;Labeling Error;In Progress;188.0
PRD06238;SupplierF;2023-01-07;Packaging Damage;Resolved;1447.0
;SupplierC;2024-03-29;Other;In Progress;197.0
PRD00343;SupplierH;2023-07-14;Labeling Error;Resolved;244.0
PRD05779;SupplierE;2023-05-26;Labeling Error;Resolved;408.0
PRD08437;SupplierG;2023-10-04;Other;Resolved;157.0
PRD02984;SupplierA;2024-04-06;Incorrect Folding;Resolved;288.75
PRD06669;SupplierA;2023-07-09;Incorrect Folding;Resolved;546.25
PRD02203;SupplierD;2024-06-15;Other;Resolved;167.0
PRD09666;SupplierD;2024-05-21;Other;Not Resolved;295.0
PRD06589;SupplierB;2023-06-11;Labeling Error;Resolved;231.0
PRD00805;SupplierD;2023-12-16;Packaging Damage;Resolved;1079.0
PRD04294;SupplierC;2023-02-18;Labeling Error;Resolved;415.0
PRD02980;SupplierA;2023-11-07;Packaging Damage;Resolved;2100.0
;SupplierD;2023-01-31;Other;Resolved;375.0
PRD02697;SupplierA;2023-10-02;Packaging Damage;In Progress;1274.0
PRD08114;SupplierH;2023-04-27;Packaging Damage;Not Resolved;1082.0
PRD00447;SupplierD;2023-12-11;Packaging Damage;Not Resolved;1293.0
PRD01919;SupplierH;2023-04-06;Transportation Damage;In Progress;1118.0
PRD02140;SupplierG;2023-12-31;Incorrect Folding;Not Resolved;425.0
PRD03531;SupplierA;2023-02-03;Incorrect Folding;Resolved;550.0
PRD00206;SupplierD;2023-10-22;Labeling Error;Resolved;133.0
PRD08526;SupplierB;2023-11-14;Incorrect Folding;Resolved;622.5
PRD05711;SupplierE;2023-08-10;Labeling Error;Resolved;495.0
PRD09124;SupplierC;2023-04-01;Labeling Error;Resolved;478.0
PRD05121;SupplierD;2024-01-03;Other;In Progress;378.0
PRD09142;SupplierA;2024-04-12;Incorrect Folding;In Progress;736.25
PRD05836;SupplierD;2024-02-25;Missing Items;Resolved;345.0
PRD04677;SupplierD;2023-05-19;Labeling Error;Resolved;157.0
PRD00025;SupplierH;2023-04-09;Packaging Damage;Resolved;2017.5
PRD02007;SupplierE;2024-02-10;Other;Resolved;259.0
PRD00333;SupplierC;2023-11-23;Labeling Error;Not Resolved;459.0
PRD02339;SupplierC;2023-10-22;Labeling Error;In Progress;102.0
PRD01960;SupplierA;2023-03-24;Missing Items;Resolved;710.0
PRD00334;SupplierB;2024-06-06;Incorrect Folding;Resolved;310.0
PRD08383;SupplierA;2023-04-18;Packaging Damage;Resolved;552.0
PRD05661;SupplierD;2023-10-12;Labeling Error;Resolved;240.0
PRD00006;SupplierF;2024-03-15;Incorrect Folding;In Progress;472.5
PRD05773;SupplierD;2024-03-26;Other;Resolved;218.0
PRD08924;SupplierC;2023-12-08;Labeling Error;Not Resolved;115.0
PRD04568;SupplierA;2023-03-03;Incorrect Folding;Resolved;511.25
PRD00063;SupplierD;2024-02-13;Labeling Error;Resolved;165.0
PRD04024;SupplierD;2023-04-09;Labeling Error;Resolved;327.0
PRD02174;SupplierE;2024-04-28;Labeling Error;In Progress;286.0
PRD08460;SupplierC;2024-04-06;Other;Resolved;265.0
PRD03012;SupplierH;2023-11-09;Other;Resolved;82.0
PRD04783;SupplierD;2024-05-23;Incorrect Folding;In Progress;557.5
PRD01174;SupplierA;2023-05-31;Incorrect Folding;In Progress;301.25
PRD09171;SupplierA;2023-12-31;Incorrect Folding;Resolved;175.0
PRD00209;SupplierE;2023-07-17;Labeling Error;Not Resolved;222.0
PRD07242;SupplierD;2023-10-13;Labeling Error;Resolved;452.0
PRD02758;SupplierC;2023-06-10;Incorrect Folding;In Progress;590.0
PRD09366;SupplierF;2023-07-01;Other;In Progress;269.0
PRD08276;SupplierB;2023-09-17;Incorrect Folding;Resolved;490.0
PRD05070;SupplierD;2023-07-20;Labeling Error;In Progress;249.0
PRD04931;SupplierC;2024-01-05;Other;Resolved;256.0
PRD03768;SupplierA;2024-07-09;Other;Resolved;336.0
PRD07998;SupplierB;2023-09-21;Incorrect Folding;Resolved;232.5
PRD09236;SupplierA;2023-07-28;Other;Resolved;192.0
PRD09735;SupplierC;2023-03-14;Other;In Progress;179.0
PRD03194;SupplierC;2023-08-23;Other;Resolved;113.0
PRD01419;SupplierA;2024-03-12;Other;Resolved;372.0
PRD07715;SupplierA;2023-11-25;Labeling Error;In Progress;240.0
PRD07466;SupplierB;2023-02-05;Packaging Damage;Resolved;1401.0
PRD01864;SupplierA;2023-10-02;Missing Items;Resolved;1253.0
PRD05329;SupplierG;2024-04-07;Packaging Damage;Resolved;940.0
PRD09435;SupplierA;2023-09-23;Missing Items;Resolved;1189.0
PRD09618;SupplierH;2024-06-05;Missing Items;Resolved;594.0
PRD02600;SupplierD;2023-03-28;Labeling Error;Resolved;466.0
PRD02940;SupplierD;2023-03-21;Labeling Error;Resolved;268.0
PRD08973;SupplierG;2023-09-16;Incorrect Folding;Resolved;270.0
PRD05112;SupplierC;2024-06-16;Incorrect Folding;Resolved;685.0
PRD00674;SupplierH;2023-02-17;Other;Not Resolved;161.0
PRD01822;SupplierA;2024-05-04;Incorrect Folding;Resolved;308.75
PRD05697;SupplierC;2023-08-21;Incorrect Folding;Resolved;403.75
PRD03087;SupplierF;2023-03-06;Packaging Damage;In Progress;724.0
PRD03192;SupplierF;2023-10-17;Labeling Error;Resolved;415.0
PRD00882;SupplierB;2024-06-13;Packaging Damage;In Progress;1304.0
PRD03608;SupplierF;2023-04-07;Incorrect Folding;Resolved;296.25
PRD04983;SupplierG;2023-03-20;Packaging Damage;Resolved;1094.0
